id,title,publication_date,doi
https://openalex.org/W4386723394,UKRN ORCC Primer on Working in Open Research,2023-09-12,https://doi.org/10.31219/osf.io/346hr
https://openalex.org/W4386092859,"Adding Standards and Procedures to the What Works Clearinghouse Handbook on the Transparency, Openness, and Reproducibility of Effectiveness Research on Education Practices, Products, Programs, and Policies",2023-08-22,https://doi.org/10.31222/osf.io/nra5v
https://openalex.org/W4385343655,Whose open science are we talking about? From open science in psychology to open science in applied linguistics,2023-07-27,https://doi.org/10.31219/osf.io/4tdmc
https://openalex.org/W4384695555,"Special Issue: Open, Digital, Collaborative Project Preservation in the Humanities",2023-07-18,https://doi.org/10.21428/f1f23564.aa85bf79
https://openalex.org/W4384067489,Modelling Orthographic Similarity Effects in Recognition Memory Reveals Support for Open Bigram Representations of Letter Coding,2023-07-11,https://doi.org/10.31234/osf.io/95hnw
https://openalex.org/W4383376256,Accelerating addiction research via Open Science and Team Science,2023-07-05,https://doi.org/10.31234/osf.io/pbkrx
https://openalex.org/W4383067297,AN OVERVIEW ON OPEN SCIENCE IN THE EUROPEAN RAIL SECTOR,2023-07-04,https://doi.org/10.3846/transport.2023.18291
https://openalex.org/W4385584855,Open sharing of government data and enterprise decision making,2023-06-30,https://doi.org/10.59494/dsi.2023.2.2
https://openalex.org/W4382790069,The Library of the Norwegian University of Science and Technology (NTNU) and its work with Open Science,2023-06-29,https://doi.org/10.15460/apimagazin.2023.4.2.151
https://openalex.org/W4382724015,Artificial Intelligence in STEM Education: Interactive Handson Environment using Open Source Electronic Platforms,2023-06-29,https://doi.org/10.18845/tm.v36i6.6759
https://openalex.org/W4382361170,Open-Source Software –Benefits and Drawbacks,2023-06-28,https://doi.org/10.48175/ijarsct-11689
https://openalex.org/W4382894064,Reinforcement Learning in Education 4.0: Open Applications and Deployment Challenges,2023-06-27,https://doi.org/10.5121/ijcsit.2023.15304
https://openalex.org/W4381853131,A REVIEW OF THE CULTURAL HERITAGE LINKED OPEN DATA ONTOLOGIES AND MODELS,2023-06-24,https://doi.org/10.5194/isprs-archives-xlviii-m-2-2023-943-2023
https://openalex.org/W4381738705,The State of Open Science Practices in Psychometric Studies of Suicide: A Systematic Review,2023-06-22,https://doi.org/10.31219/osf.io/fwsr3
https://openalex.org/W4381512571,The Benchtop mesoSPIM: a next-generation open-source light-sheet microscope for large cleared samples,2023-06-21,https://doi.org/10.1101/2023.06.16.545256
https://openalex.org/W4386611005,Towards a framework for Open Data literacy in education: A systematic mapping review of Open Data skills and learning approaches,2023-06-20,https://doi.org/10.55612/s-5002-057-008
https://openalex.org/W4380878546,"What knowledge does ChatGPT have regarding open science, and can it provide good advice about it?",2023-06-15,https://doi.org/10.31235/osf.io/awhuf
https://openalex.org/W4323268162,Towards a Common Definition of Open Data Intermediaries,2023-06-14,https://doi.org/10.1145/3585537
https://openalex.org/W4380623981,Promoting Reusable and Open Methods and Protocols (PRO-MaP): Draft recommendations to improve methodological clarity in life sciences publications,2023-06-13,https://doi.org/10.31219/osf.io/x85gh
https://openalex.org/W4379207823,The Open Empirical Cycle for Hypothesis Evaluation in Psychology,2023-06-02,https://doi.org/10.31234/osf.io/wsxbh
https://openalex.org/W4379208572,Platform-controlled social media APIs threaten Open Science,2023-06-02,https://doi.org/10.31234/osf.io/ps32z
https://openalex.org/W4363678937,Wide open? Creative industries and open strategizing challenges,2023-06-01,https://doi.org/10.2478/ijme-2023-0002
